Request,code_lines,cost,duration,env_lines,manual_lines,model_type,num_code_files,num_completion_tokens,num_doc_files,num_png_files,num_prompt_tokens,num_reflection,num_total_tokens,num_utterance,version_updates
req1,37,0.0232505,50.0,2,38,gpt-3.5-turbo,2,3124,8,0,11335,1,14459,24,5.0
req2,91,0.031060499999999998,63.0,1,56,gpt-3.5-turbo,2,4419,8,0,14815,1,19234,22,4.0
req3,63,0.0297835,66.0,2,46,gpt-3.5-turbo,2,4250,8,0,14189,1,18439,22,4.0
req4,63,0.034472499999999996,67.0,1,57,gpt-3.5-turbo,2,4970,8,0,16355,1,21325,22,4.0
req5,81,0.0347205,66.0,2,62,gpt-3.5-turbo,2,4257,8,0,17471,1,21728,22,4.0
req6,82,0.034839,54.0,2,55,gpt-3.5-turbo,2,3600,8,0,18426,1,22026,22,4.0
req7,82,0.0353955,50.0,2,42,gpt-3.5-turbo,2,3426,8,0,19029,1,22455,22,4.0
req8,141,0.044927999999999996,75.0,2,77,gpt-3.5-turbo,2,5433,8,0,22708,1,28141,22,4.0
req9,138,0.052696,92.0,2,83,gpt-3.5-turbo,2,6383,8,0,26620,1,33003,22,4.0
req10,140,0.052027500000000004,79.0,2,51,gpt-3.5-turbo,2,5637,8,0,27169,1,32806,22,4.0
req11,140,0.055121,87.0,4,56,gpt-3.5-turbo,2,6277,8,0,28378,1,34655,22,4.0
req12,140,0.06428450000000001,113.0,2,42,gpt-3.5-turbo,2,8401,8,0,31655,1,40056,22,4.0
req13,140,0.056080000000000005,83.0,1,46,gpt-3.5-turbo,2,5777,8,0,29684,1,35461,22,4.0
req14,140,0.058110999999999996,87.0,2,110,gpt-3.5-turbo,2,6590,8,0,29954,1,36544,22,4.0
req15,142,0.057019,81.0,2,49,gpt-3.5-turbo,2,5624,8,0,30514,1,36138,22,4.0
req16,142,0.05973250000000001,85.0,2,49,gpt-3.5-turbo,2,6200,8,0,31555,1,37755,22,4.0
req17,142,0.059434,81.0,2,102,gpt-3.5-turbo,2,6116,8,0,31468,1,37584,22,4.0
req18,139,0.059666,81.0,2,54,gpt-3.5-turbo,2,5665,8,0,32224,1,37889,22,4.0
req19,139,0.0628625,90.0,2,48,gpt-3.5-turbo,2,6466,8,0,33287,1,39753,22,4.0
req20,140,0.0623505,86.0,2,48,gpt-3.5-turbo,2,5928,8,0,33663,1,39591,22,4.0
req21,137,0.0624005,81.0,1,48,gpt-3.5-turbo,2,5638,8,0,34083,1,39721,22,4.0
req22,137,0.0619675,76.0,2,43,gpt-3.5-turbo,2,5255,8,0,34305,1,39560,22,4.0
req23,137,0.064546,85.0,2,61,gpt-3.5-turbo,2,5876,8,0,35196,1,41072,22,4.0
req24,137,0.06547800000000001,85.0,2,65,gpt-3.5-turbo,2,5811,8,0,35904,1,41715,22,4.0
req25,137,0.068049,96.0,1,113,gpt-3.5-turbo,2,6492,8,0,36710,1,43202,22,4.0
req26,137,0.066689,79.0,2,63,gpt-3.5-turbo,2,5548,8,0,37062,1,42610,22,4.0
req27,137,0.068373,83.0,1,52,gpt-3.5-turbo,2,5622,8,0,38086,1,43708,22,4.0
req28,137,0.0713165,88.0,2,111,gpt-3.5-turbo,2,6364,8,0,39059,1,45423,22,4.0
req29,137,0.07033500000000001,78.0,2,61,gpt-3.5-turbo,2,5580,8,0,39450,1,45030,22,4.0
req30,137,0.0716425,77.0,1,53,gpt-3.5-turbo,2,5483,8,0,40451,1,45934,22,4.0
req31,135,0.072652,78.0,2,56,gpt-3.5-turbo,2,5471,8,0,41140,1,46611,22,4.0
req32,135,0.0731005,79.0,1,63,gpt-3.5-turbo,2,5225,8,0,41767,1,46992,22,4.0
req33,135,0.0750565,80.0,1,55,gpt-3.5-turbo,2,5417,8,0,42815,1,48232,22,4.0
req34,138,0.075965,81.0,1,65,gpt-3.5-turbo,2,5494,8,0,43318,1,48812,22,4.0
req35,138,0.077709,85.0,1,71,gpt-3.5-turbo,2,5643,8,0,44282,1,49925,22,4.0
req36,138,0.07832850000000001,83.0,2,90,gpt-3.5-turbo,2,5649,8,0,44687,1,50336,22,4.0
req37,139,0.08390199999999999,99.0,1,68,gpt-3.5-turbo,2,6542,8,0,47212,1,53754,22,4.0
req38,139,0.0832585,88.0,1,69,gpt-3.5-turbo,2,5918,8,0,47615,1,53533,22,4.0
req39,139,0.08326449999999999,86.0,2,82,gpt-3.5-turbo,2,5591,8,0,48055,1,53646,22,4.0
req40,139,0.086233,90.0,1,95,gpt-3.5-turbo,2,6356,8,0,49014,1,55370,22,4.0
