Request,code_lines,cost,duration,env_lines,manual_lines,model_type,num_code_files,num_completion_tokens,num_doc_files,num_png_files,num_prompt_tokens,num_reflection,num_total_tokens,num_utterance,version_updates
req1,55,0.032063,76.0,2,35,gpt-3.5-turbo,3,5182,8,0,14466,1,19648,27,6.0
req2,63,0.026251999999999998,49.0,2,38,gpt-3.5-turbo,3,3130,8,0,13328,1,16458,22,4.0
req3,73,0.033011,73.0,2,57,gpt-3.5-turbo,3,4189,8,0,16422,1,20611,24,5.0
req4,90,0.033386,58.0,-1,39,gpt-3.5-turbo,3,3946,7,0,16996,1,20942,22,4.0
req5,111,0.0986745,120.0,2,39,gpt-3.5-turbo,3,6342,8,0,57327,2,63669,43,4.0
req6,249,0.061628,112.0,2,42,gpt-3.5-turbo,4,8164,8,0,30200,1,38364,25,4.0
req7,254,0.06672650000000001,130.0,1,50,gpt-3.5-turbo,4,8782,8,0,32775,1,41557,24,4.0
req8,257,0.059838,102.0,1,100,gpt-3.5-turbo,4,7266,8,0,30204,1,37470,22,4.0
req9,257,0.07323,115.0,1,50,gpt-3.5-turbo,4,7599,8,0,38688,1,46287,29,4.0
req10,259,0.0655755,111.0,1,48,gpt-3.5-turbo,4,8061,8,0,32969,1,41030,22,4.0
req11,259,0.0668725,100.0,1,70,gpt-3.5-turbo,4,7436,8,0,34667,1,42103,24,4.0
req12,259,0.0688355,123.0,1,40,gpt-3.5-turbo,4,7339,8,0,36105,1,43444,24,4.0
req13,259,0.0667865,104.0,1,62,gpt-3.5-turbo,4,7531,8,0,34483,1,42014,22,4.0
req14,278,0.0807805,147.0,2,56,gpt-3.5-turbo,4,9629,8,0,41015,1,50644,26,4.0
req15,297,0.0706475,108.0,1,53,gpt-3.5-turbo,4,7867,8,0,36609,1,44476,22,4.0
req16,301,0.0758925,118.0,1,91,gpt-3.5-turbo,4,8946,8,0,38667,1,47613,22,4.0
req17,309,0.076097,117.0,1,39,gpt-3.5-turbo,4,8314,8,0,39646,1,47960,22,4.0
req18,306,0.090259,125.0,1,53,gpt-3.5-turbo,4,8711,8,0,48558,1,57269,28,4.0
req19,306,0.07676150000000001,112.0,1,50,gpt-3.5-turbo,4,8134,8,0,40329,1,48463,22,4.0
req20,313,0.0805705,127.0,1,97,gpt-3.5-turbo,4,9002,8,0,41711,1,50713,22,4.0
req21,314,0.084587,133.0,1,56,gpt-3.5-turbo,4,8656,8,0,44850,1,53506,24,4.0
req22,315,0.0861405,131.0,1,42,gpt-3.5-turbo,4,8673,8,0,45863,1,54536,24,4.0
req23,320,0.090079,136.0,1,53,gpt-3.5-turbo,4,9611,8,0,47238,1,56849,24,4.0
req24,320,0.0849445,124.0,1,57,gpt-3.5-turbo,4,8408,8,0,45419,1,53827,23,4.0
req25,319,0.095431,203.0,-1,162,gpt-3.5-turbo,4,14084,7,0,44842,1,58926,22,4.0
req26,319,0.08521400000000001,129.0,1,47,gpt-3.5-turbo,4,8467,8,0,45520,1,53987,22,4.0
req27,319,0.086424,127.0,1,72,gpt-3.5-turbo,4,8667,8,0,46060,1,54727,22,4.0
req28,322,0.0913725,147.0,1,90,gpt-3.5-turbo,4,9846,8,0,47787,1,57633,22,4.0
req29,322,0.090092,134.0,1,134,gpt-3.5-turbo,4,9409,8,0,47516,1,56925,22,4.0
req30,324,0.09453500000000001,151.0,1,217,gpt-3.5-turbo,4,10597,8,0,48894,1,59491,22,4.0
req31,324,0.094447,137.0,0,53,gpt-3.5-turbo,4,9815,8,0,49878,1,59693,22,4.0
req32,327,0.10542,154.0,1,127,gpt-3.5-turbo,4,11115,8,0,55460,1,66575,24,4.0
req33,334,0.09811299999999999,136.0,1,101,gpt-3.5-turbo,4,10295,8,0,51682,1,61977,22,4.0
req34,338,0.0982855,140.0,0,96,gpt-3.5-turbo,4,9554,8,0,52785,1,62339,22,4.0
