Request,code_lines,cost,duration,env_lines,manual_lines,model_type,num_code_files,num_completion_tokens,num_doc_files,num_png_files,num_prompt_tokens,num_reflection,num_total_tokens,num_utterance,version_updates
req1,62,0.0358305,81.0,2,51,gpt-3.5-turbo,6,5745,13,0,16227,1,21972,24,5.0
req2,74,0.028929500000000004,58.0,1,49,gpt-3.5-turbo,6,3628,8,0,14449,1,18077,22,4.0
req3,79,0.0324275,67.0,1,36,gpt-3.5-turbo,6,4186,8,0,16037,1,20223,22,4.0
req4,87,0.0334165,58.0,1,40,gpt-3.5-turbo,6,4019,8,0,16919,1,20938,22,4.0
req5,88,0.0333405,55.0,0,41,gpt-3.5-turbo,6,3663,8,0,17343,1,21006,22,4.0
req6,88,0.034767000000000006,61.0,2,36,gpt-3.5-turbo,6,3762,8,0,18162,1,21924,22,4.0
req7,88,0.0383135,61.0,2,38,gpt-3.5-turbo,6,3895,8,0,20349,1,24244,24,4.0
req8,128,0.039434000000000004,60.0,1,38,gpt-3.5-turbo,7,4129,8,0,20784,1,24913,22,4.0
req9,140,0.050728,93.0,0,40,gpt-3.5-turbo,7,6356,8,0,25344,1,31700,22,4.0
req10,196,0.0616895,115.0,1,46,gpt-3.5-turbo,7,7954,8,0,30521,1,38475,22,4.0
req11,200,0.060458,94.0,1,54,gpt-3.5-turbo,7,6220,8,0,32012,1,38232,22,4.0
req12,209,0.066066,110.0,1,47,gpt-3.5-turbo,7,7797,8,0,33648,1,41445,22,4.0
req13,212,0.063256,112.0,3,40,gpt-3.5-turbo,7,5639,8,0,34652,1,40291,22,4.0
req14,227,0.0697985,139.0,3,116,gpt-3.5-turbo,7,8086,8,0,35751,1,43837,22,4.0
req15,228,0.069453,135.0,1,66,gpt-3.5-turbo,7,6774,8,0,37270,1,44044,22,4.0
req16,245,0.076096,143.0,-1,50,gpt-3.5-turbo,7,7775,7,0,40364,1,48139,23,4.0
req17,246,0.080036,253.0,1,45,gpt-3.5-turbo,7,8725,8,0,41724,1,50449,23,4.0
req18,246,0.076927,188.0,2,50,gpt-3.5-turbo,7,8171,8,0,40390,1,48561,22,4.0
req19,267,0.08036900000000001,279.0,1,54,gpt-3.5-turbo,7,8758,8,0,41902,1,50660,22,4.0
req20,267,0.0889235,222.0,3,49,gpt-3.5-turbo,7,9310,8,0,46869,1,56179,24,4.0
req21,267,0.087391,231.0,1,55,gpt-3.5-turbo,7,8435,8,0,47014,1,55449,24,4.0
req22,264,0.100073,220.0,3,72,gpt-3.5-turbo,7,9973,8,0,53418,1,63391,28,4.0
req23,264,0.0884355,156.0,1,54,gpt-3.5-turbo,7,8124,8,0,48125,1,56249,24,4.0
req24,276,0.088521,158.0,0,55,gpt-3.5-turbo,7,9303,8,0,46610,1,55913,22,4.0
req25,276,0.0944975,160.0,2,67,gpt-3.5-turbo,7,9622,8,0,50169,1,59791,24,4.0
req26,278,0.09460199999999999,150.0,3,76,gpt-3.5-turbo,7,10053,8,0,49664,1,59717,23,4.0
req27,278,0.099358,193.0,1,103,gpt-3.5-turbo,7,10796,8,0,51844,1,62640,24,4.0
req28,276,0.095452,164.0,3,58,gpt-3.5-turbo,7,8750,8,0,51968,1,60718,24,4.0
req29,278,0.095665,139.0,3,68,gpt-3.5-turbo,7,8234,8,0,52798,1,61032,24,4.0
req30,278,0.0982855,182.0,3,57,gpt-3.5-turbo,7,9125,8,0,53357,1,62482,24,4.0
req31,295,0.10074350000000001,175.0,1,116,gpt-3.5-turbo,7,9487,8,0,54513,1,64000,24,4.0
req32,296,0.100854,174.0,1,58,gpt-3.5-turbo,7,10398,8,0,53372,1,63770,22,4.0
req33,296,0.11121800000000001,156.0,1,46,gpt-3.5-turbo,7,10510,8,0,60132,1,70642,25,4.0
req34,296,0.1046915,145.0,3,64,gpt-3.5-turbo,7,10591,8,0,55673,1,66264,23,4.0
req35,293,0.1074125,141.0,3,72,gpt-3.5-turbo,7,10273,8,0,57911,1,68184,24,4.0
req36,297,0.10253399999999999,127.0,1,61,gpt-3.5-turbo,7,9501,8,0,55688,1,65189,22,4.0
req37,297,0.10425300000000001,135.0,1,65,gpt-3.5-turbo,7,9918,8,0,56278,1,66196,22,4.0
req38,297,0.10812550000000001,176.0,1,58,gpt-3.5-turbo,7,11507,8,0,56741,1,68248,22,4.0
req39,297,0.10737500000000001,146.0,3,72,gpt-3.5-turbo,7,10102,8,0,58114,1,68216,22,4.0
req40,394,0.125391,197.0,1,80,gpt-3.5-turbo,8,13149,8,0,66062,1,79211,23,4.0
req41,393,0.129352,198.0,1,61,gpt-3.5-turbo,8,13781,8,0,67860,1,81641,22,4.0
req42,334,0.1264015,151.0,2,74,gpt-3.5-turbo,8,10238,8,0,70617,1,80855,24,4.0
req43,334,0.11609699999999999,145.0,1,69,gpt-3.5-turbo,8,9318,8,0,64974,1,74292,22,4.0
req44,332,0.121483,146.0,1,83,gpt-3.5-turbo,8,9428,8,0,68418,1,77846,24,4.0
req45,333,0.116038,142.0,3,58,gpt-3.5-turbo,8,9452,8,0,64756,1,74208,22,4.0
