Request,code_lines,cost,duration,env_lines,manual_lines,model_type,num_code_files,num_completion_tokens,num_doc_files,num_png_files,num_prompt_tokens,num_reflection,num_total_tokens,num_utterance,version_updates
req1,98,0.029069,75.0,1,38,gpt-3.5-turbo,3,4363,8,0,13562,1,17925,24,5.0
req2,99,0.030506500000000002,63.0,1,85,gpt-3.5-turbo,3,3950,8,0,15071,1,19021,22,4.0
req3,107,0.031901,61.0,1,37,gpt-3.5-turbo,3,3847,8,0,16138,1,19985,22,4.0
req4,107,0.0327795,65.0,-1,37,gpt-3.5-turbo,3,3816,7,0,16765,1,20581,22,4.0
req5,106,0.035389500000000004,61.0,1,44,gpt-3.5-turbo,3,4356,8,0,17785,1,22141,22,4.0
req6,108,0.034895499999999996,61.0,1,43,gpt-3.5-turbo,3,4229,8,0,17625,1,21854,22,4.0
req7,109,0.035364,56.0,1,31,gpt-3.5-turbo,3,3789,8,0,18524,1,22313,22,4.0
req8,109,0.0362685,59.0,1,42,gpt-3.5-turbo,3,3906,8,0,18971,1,22877,22,4.0
req9,112,0.038311,62.0,1,45,gpt-3.5-turbo,3,4148,8,0,20010,1,24158,22,4.0
req10,112,0.0386495,64.0,1,46,gpt-3.5-turbo,3,3925,8,0,20533,1,24458,22,4.0
req11,112,0.04001,59.0,1,51,gpt-3.5-turbo,3,3979,8,0,21368,1,25347,22,4.0
req12,112,0.042225,69.0,1,54,gpt-3.5-turbo,3,4455,8,0,22210,1,26665,22,4.0
req13,113,0.041795,65.0,2,40,gpt-3.5-turbo,3,4117,8,0,22374,1,26491,22,4.0
req14,113,0.041714999999999995,60.0,0,49,gpt-3.5-turbo,3,3924,8,0,22578,1,26502,22,4.0
req15,146,0.046900500000000005,75.0,1,55,gpt-3.5-turbo,3,5031,8,0,24559,1,29590,22,4.0
req16,146,0.049558500000000005,74.0,1,46,gpt-3.5-turbo,3,5229,8,0,26067,1,31296,22,4.0
req17,146,0.04942,77.0,1,61,gpt-3.5-turbo,3,4757,8,0,26604,1,31361,22,4.0
req18,146,0.050174500000000004,77.0,1,50,gpt-3.5-turbo,3,4919,8,0,26891,1,31810,22,4.0
req19,146,0.050489,69.0,1,51,gpt-3.5-turbo,3,4627,8,0,27490,1,32117,22,4.0
req20,146,0.0530395,83.0,1,78,gpt-3.5-turbo,3,5312,8,0,28277,1,33589,22,4.0
req21,145,0.0543525,88.0,1,50,gpt-3.5-turbo,3,5640,8,0,28715,1,34355,22,4.0
req22,145,0.0569115,79.0,1,59,gpt-3.5-turbo,3,4998,8,0,31277,1,36275,24,4.0
req23,145,0.05363500000000001,75.0,1,54,gpt-3.5-turbo,3,4733,8,0,29446,1,34179,22,4.0
req24,146,0.0563835,81.0,1,59,gpt-3.5-turbo,3,5277,8,0,30553,1,35830,22,4.0
req25,146,0.057135500000000006,75.0,1,73,gpt-3.5-turbo,3,5269,8,0,31065,1,36334,22,4.0
req26,146,0.057430999999999996,77.0,1,58,gpt-3.5-turbo,3,5122,8,0,31458,1,36580,22,4.0
req27,146,0.057946000000000004,79.0,1,72,gpt-3.5-turbo,3,5108,8,0,31820,1,36928,22,4.0
req28,146,0.059935,84.0,1,73,gpt-3.5-turbo,3,5327,8,0,32854,1,38181,22,4.0
req29,146,0.0599725,84.0,1,59,gpt-3.5-turbo,3,4970,8,0,33355,1,38325,22,4.0
req30,143,0.061516999999999995,81.0,1,80,gpt-3.5-turbo,3,5164,8,0,34126,1,39290,22,4.0
req31,143,0.0673285,100.0,1,60,gpt-3.5-turbo,3,5453,8,0,37615,1,43068,24,4.0
req32,143,0.0667905,75.0,1,41,gpt-3.5-turbo,3,4971,8,0,37899,1,42870,24,4.0
req33,143,0.064328,77.0,1,61,gpt-3.5-turbo,3,5278,8,0,35848,1,41126,22,4.0
req34,143,0.0651665,77.0,1,61,gpt-3.5-turbo,3,5197,8,0,36515,1,41712,22,4.0
req35,143,0.064974,74.0,1,62,gpt-3.5-turbo,3,4899,8,0,36784,1,41683,22,4.0
req36,143,0.0671685,82.0,1,68,gpt-3.5-turbo,3,5307,8,0,37703,1,43010,22,4.0
req37,143,0.0687065,81.0,1,80,gpt-3.5-turbo,3,5527,8,0,38435,1,43962,22,4.0
req38,143,0.068486,75.0,1,66,gpt-3.5-turbo,3,5146,8,0,38796,1,43942,22,4.0
req39,143,0.0702685,82.0,1,71,gpt-3.5-turbo,3,5573,8,0,39415,1,44988,22,4.0
req40,143,0.0719575,84.0,1,113,gpt-3.5-turbo,3,5909,8,0,40093,1,46002,22,4.0
req41,143,0.076542,87.0,1,98,gpt-3.5-turbo,3,5799,8,0,43296,1,49095,23,4.0
req42,143,0.073144,83.0,1,72,gpt-3.5-turbo,3,5618,8,0,41272,1,46890,22,4.0
req43,143,0.0705125,75.0,1,35,gpt-3.5-turbo,3,4540,8,0,40955,1,45495,22,4.0
req44,143,0.073175,81.0,1,71,gpt-3.5-turbo,3,5248,8,0,41786,1,47034,22,4.0
req45,143,0.075609,81.0,1,69,gpt-3.5-turbo,3,5562,8,0,42990,1,48552,22,4.0
req46,143,0.07675950000000001,91.0,1,96,gpt-3.5-turbo,3,5859,8,0,43361,1,49220,22,4.0
req47,143,0.07782750000000001,101.0,1,121,gpt-3.5-turbo,3,5997,8,0,43889,1,49886,22,4.0
req48,143,0.077597,90.0,1,79,gpt-3.5-turbo,3,5422,8,0,44502,1,49924,22,4.0
req49,143,0.07766949999999999,77.0,1,72,gpt-3.5-turbo,3,5195,8,0,44853,1,50048,22,4.0
req50,143,0.08104750000000001,90.0,1,110,gpt-3.5-turbo,3,6056,8,0,45957,1,52013,22,4.0
req51,143,0.0822725,93.0,1,71,gpt-3.5-turbo,3,5947,8,0,46919,1,52866,22,4.0
req52,143,0.0816735,77.0,1,68,gpt-3.5-turbo,3,5250,8,0,47449,1,52699,22,4.0
req53,143,0.08338100000000001,82.0,1,38,gpt-3.5-turbo,3,5254,8,0,48582,1,53836,22,4.0
req54,143,0.08573,85.0,1,74,gpt-3.5-turbo,3,5932,8,0,49244,1,55176,22,4.0
