Request,code_lines,cost,duration,env_lines,manual_lines,model_type,num_code_files,num_completion_tokens,num_doc_files,num_png_files,num_prompt_tokens,num_reflection,num_total_tokens,num_utterance,version_updates
req1,88,0.0305725,72.0,2,32,gpt-3.5-turbo,5,4706,8,0,14107,1,18813,24,5.0
req2,112,0.068834,109.0,1,72,gpt-3.5-turbo,5,6889,8,0,36704,1,43593,34,4.0
req3,128,0.0402605,89.0,3,94,gpt-3.5-turbo,5,5602,8,0,19371,1,24973,24,4.0
req4,128,0.042112000000000004,91.0,3,110,gpt-3.5-turbo,5,5564,8,0,20656,1,26220,24,4.0
req5,182,0.044777,87.0,3,75,gpt-3.5-turbo,5,5896,8,0,21990,1,27886,22,4.0
req6,183,0.0509735,91.0,3,89,gpt-3.5-turbo,5,6553,8,0,25245,1,31798,22,4.0
req7,181,0.0514165,103.0,2,52,gpt-3.5-turbo,5,6212,8,0,25995,1,32207,22,4.0
req8,182,0.076317,271.0,1,88,gpt-3.5-turbo,5,18441,8,0,26290,1,44731,22,4.0
req9,229,0.0603835,112.0,1,49,gpt-3.5-turbo,5,7112,8,0,30773,1,37885,22,4.0
req10,329,0.085678,182.0,-1,44,gpt-3.5-turbo,5,12641,7,0,40264,1,52905,22,4.0
req11,340,0.093546,198.0,4,65,gpt-3.5-turbo,5,13398,8,0,44500,1,57898,22,4.0
req12,376,0.11531950000000002,297.0,4,85,gpt-3.5-turbo,5,21644,8,0,48021,1,69665,22,4.0
req13,417,0.10098950000000001,184.0,4,82,gpt-3.5-turbo,5,13081,8,0,49885,1,62966,22,4.0
req14,412,0.19215549999999998,249.0,4,66,gpt-3.5-turbo,5,16178,8,0,106533,2,122711,43,4.0
req15,412,0.1690625,222.0,4,91,gpt-3.5-turbo,5,15169,8,0,92483,2,107652,43,4.0
req16,413,0.12022550000000001,269.0,4,57,gpt-3.5-turbo,5,18919,8,0,54925,1,73844,22,4.0
req17,413,0.106555,185.0,4,98,gpt-3.5-turbo,5,13307,8,0,53294,1,66601,22,4.0
req18,411,0.10855550000000001,203.0,2,134,gpt-3.5-turbo,5,13975,8,0,53737,1,67712,22,4.0
req19,414,0.17905000000000001,225.0,4,45,gpt-3.5-turbo,5,14723,8,0,99736,2,114459,43,4.0
req20,386,0.10474750000000001,176.0,3,65,gpt-3.5-turbo,5,12359,8,0,53353,1,65712,22,4.0
req21,386,0.10397050000000001,183.0,3,81,gpt-3.5-turbo,5,12275,8,0,52947,1,65222,22,4.0
req22,397,0.10690250000000001,186.0,3,100,gpt-3.5-turbo,5,12781,8,0,54227,1,67008,22,4.0
req23,397,0.107236,176.0,4,92,gpt-3.5-turbo,5,12341,8,0,55036,1,67377,22,4.0
req24,396,0.10932200000000002,196.0,3,94,gpt-3.5-turbo,5,12769,8,0,55856,1,68625,22,4.0
req25,396,0.111042,193.0,3,137,gpt-3.5-turbo,5,13278,8,0,56324,1,69602,22,4.0
req26,396,0.112095,205.0,4,90,gpt-3.5-turbo,5,12924,8,0,57498,1,70422,22,4.0
req27,396,0.124441,187.0,3,96,gpt-3.5-turbo,5,12881,8,0,65786,1,78667,27,4.0
req28,396,0.11847300000000001,194.0,4,90,gpt-3.5-turbo,5,12885,8,0,61802,1,74687,24,4.0
req29,397,0.11390449999999999,189.0,2,99,gpt-3.5-turbo,5,12568,8,0,59179,1,71747,22,4.0
req30,397,0.1203735,192.0,4,88,gpt-3.5-turbo,5,12300,8,0,63849,1,76149,25,4.0
req31,397,0.1166905,195.0,2,94,gpt-3.5-turbo,5,12989,8,0,60475,1,73464,22,4.0
req32,397,0.200624,234.0,4,141,gpt-3.5-turbo,5,15595,8,0,112956,2,128551,43,4.0
req33,392,0.11921000000000001,194.0,2,98,gpt-3.5-turbo,5,13027,8,0,62104,1,75131,22,4.0
req34,392,0.12256850000000001,216.0,2,92,gpt-3.5-turbo,5,14467,8,0,62423,1,76890,22,4.0
req35,392,0.12113200000000002,188.0,2,128,gpt-3.5-turbo,5,13229,8,0,63116,1,76345,22,4.0
req36,392,0.1295615,246.0,4,99,gpt-3.5-turbo,5,15934,8,0,65129,1,81063,22,4.0
req37,392,0.1269185,185.0,2,87,gpt-3.5-turbo,5,12718,8,0,67655,1,80373,24,4.0
req38,392,0.1232445,180.0,2,96,gpt-3.5-turbo,5,12789,8,0,65111,1,77900,22,4.0
req39,393,0.1253175,189.0,2,86,gpt-3.5-turbo,5,13152,8,0,66009,1,79161,22,4.0
req40,393,0.24649050000000003,247.0,2,103,gpt-3.5-turbo,5,15846,8,0,143199,2,159045,43,4.0
