Request,code_lines,,,,,Request,cost,,,,,Request,duration,,,,,Request,env_lines,,,,,Request,manual_lines,,,,,Request,model_type,,,,,Request,num_code_files,,,,,Request,num_completion_tokens,,,,,Request,num_doc_files,,,,,Request,num_png_files,,,,,Request,num_prompt_tokens,,,,,Request,num_reflection,,,,,Request,num_total_tokens,,,,,Request,num_utterance,,,,,Request,version_updates,,,,
,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker,,FOCM,FocusBlocks,Knight's Tour,Memory Match,Personal Finance Tracker
req1,37,55,62,98,88,req1,"0,0232505","0,032063","0,0358305","0,029069","0,0305725",req1,"50,0","76,0","81,0","75,0","72,0",req1,2,2,2,1,2,req1,38,35,51,38,32,req1,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req1,2,3,6,3,5,req1,3124,5182,5745,4363,4706,req1,8,8,13,8,8,req1,0,0,0,0,0,req1,11335,14466,16227,13562,14107,req1,1,1,1,1,1,req1,14459,19648,21972,17925,18813,req1,24,27,24,24,24,req1,"5,0","6,0","5,0","5,0","5,0"
req2,91,63,74,99,112,req2,"0,031060499999999998","0,026251999999999998","0,028929500000000004","0,030506500000000002","0,068834",req2,"63,0","49,0","58,0","63,0","109,0",req2,1,2,1,1,1,req2,56,38,49,85,72,req2,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req2,2,3,6,3,5,req2,4419,3130,3628,3950,6889,req2,8,8,8,8,8,req2,0,0,0,0,0,req2,14815,13328,14449,15071,36704,req2,1,1,1,1,1,req2,19234,16458,18077,19021,43593,req2,22,22,22,22,34,req2,"4,0","4,0","4,0","4,0","4,0"
req3,63,73,79,107,128,req3,"0,0297835","0,033011","0,0324275","0,031901","0,0402605",req3,"66,0","73,0","67,0","61,0","89,0",req3,2,2,1,1,3,req3,46,57,36,37,94,req3,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req3,2,3,6,3,5,req3,4250,4189,4186,3847,5602,req3,8,8,8,8,8,req3,0,0,0,0,0,req3,14189,16422,16037,16138,19371,req3,1,1,1,1,1,req3,18439,20611,20223,19985,24973,req3,22,24,22,22,24,req3,"4,0","5,0","4,0","4,0","4,0"
req4,63,90,87,107,128,req4,"0,034472499999999996","0,033386","0,0334165","0,0327795","0,042112000000000004",req4,"67,0","58,0","58,0","65,0","91,0",req4,1,-1,1,-1,3,req4,57,39,40,37,110,req4,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req4,2,3,6,3,5,req4,4970,3946,4019,3816,5564,req4,8,7,8,7,8,req4,0,0,0,0,0,req4,16355,16996,16919,16765,20656,req4,1,1,1,1,1,req4,21325,20942,20938,20581,26220,req4,22,22,22,22,24,req4,"4,0","4,0","4,0","4,0","4,0"
req5,81,111,88,106,182,req5,"0,0347205","0,0986745","0,0333405","0,035389500000000004","0,044777",req5,"66,0","120,0","55,0","61,0","87,0",req5,2,2,0,1,3,req5,62,39,41,44,75,req5,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req5,2,3,6,3,5,req5,4257,6342,3663,4356,5896,req5,8,8,8,8,8,req5,0,0,0,0,0,req5,17471,57327,17343,17785,21990,req5,1,2,1,1,1,req5,21728,63669,21006,22141,27886,req5,22,43,22,22,22,req5,"4,0","4,0","4,0","4,0","4,0"
req6,82,249,88,108,183,req6,"0,034839","0,061628","0,034767000000000006","0,034895499999999996","0,0509735",req6,"54,0","112,0","61,0","61,0","91,0",req6,2,2,2,1,3,req6,55,42,36,43,89,req6,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req6,2,4,6,3,5,req6,3600,8164,3762,4229,6553,req6,8,8,8,8,8,req6,0,0,0,0,0,req6,18426,30200,18162,17625,25245,req6,1,1,1,1,1,req6,22026,38364,21924,21854,31798,req6,22,25,22,22,22,req6,"4,0","4,0","4,0","4,0","4,0"
req7,82,254,88,109,181,req7,"0,0353955","0,06672650000000001","0,0383135","0,035364","0,0514165",req7,"50,0","130,0","61,0","56,0","103,0",req7,2,1,2,1,2,req7,42,50,38,31,52,req7,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req7,2,4,6,3,5,req7,3426,8782,3895,3789,6212,req7,8,8,8,8,8,req7,0,0,0,0,0,req7,19029,32775,20349,18524,25995,req7,1,1,1,1,1,req7,22455,41557,24244,22313,32207,req7,22,24,24,22,22,req7,"4,0","4,0","4,0","4,0","4,0"
req8,141,257,128,109,182,req8,"0,044927999999999996","0,059838","0,039434000000000004","0,0362685","0,076317",req8,"75,0","102,0","60,0","59,0","271,0",req8,2,1,1,1,1,req8,77,100,38,42,88,req8,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req8,2,4,7,3,5,req8,5433,7266,4129,3906,18441,req8,8,8,8,8,8,req8,0,0,0,0,0,req8,22708,30204,20784,18971,26290,req8,1,1,1,1,1,req8,28141,37470,24913,22877,44731,req8,22,22,22,22,22,req8,"4,0","4,0","4,0","4,0","4,0"
req9,138,257,140,112,229,req9,"0,052696","0,07323","0,050728","0,038311","0,0603835",req9,"92,0","115,0","93,0","62,0","112,0",req9,2,1,0,1,1,req9,83,50,40,45,49,req9,"gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo","gpt-3,5-turbo",req9,2,4,7,3,5,req9,6383,7599,6356,4148,7112,req9,8,8,8,8,8,req9,0,0,0,0,0,req9,26620,38688,25344,20010,30773,req9,1,1,1,1,1,req9,33003,46287,31700,24158,37885,req9,22,29,22,22,22,req9,"4,0","4,0","4,0","4,0","4,0"
